name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Mycobacterium phage Myrna	546805	species	164602	30	30	0.0
MT126808.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/SP02/human/2020/BRA, complete genome	9000058	leaf	29876	29	29	0.0
Ostreococcus lucimarinus virus 2	1663208	species	196300	113	29	0.0
MT123292.2 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/IQTC04/human/2020/CHN, complete genome	9000056	leaf	29923	28	28	0.00307889
MT184913.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-26/2020, complete genome	9000094	leaf	29882	29	28	0.0
Rhodoferax phage P26218	1636270	species	36315	28	28	0.0
Bacillus virus G	1084719	species	497513	27	27	0.0
Vibrio phage KVP40	75320	leaf	244834	28	27	0.0
Pandoravirus dulcis	1349409	species	1908524	32	25	0.0
Pandoravirus neocaledonia	2107708	species	2003191	26	25	0.0
Enterobacter phage PG7	1455074	leaf	173276	28	24	0.0
MT184908.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-21/2020, complete genome	9000089	leaf	29880	40	24	0.0
Parvovirus NIH-CQV	1341019	species	3780	24	24	0.0
Begomovirus	10814	genus	3365	23	23	0.0
MT106052.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA7/2020, complete genome	9000049	leaf	29882	48	23	0.0
Acanthamoeba polyphaga mimivirus	212035	species	1181549	39	21	0.0
Bacillus phage Deep Blue	1792245	leaf	157501	21	21	0.0
Cafeteria roenbergensis virus BV-PW1	693272	leaf	617453	23	21	0.0
Pseudomonas virus phiKZ	169683	species	280334	21	21	0.0
Aeromonas phage phiAS5	879630	species	225268	27	19	0.0
Acinetobacter phage Acj9	760939	species	169947	21	18	0.0
Streptococcus phage 20617	1392231	species	48800	18	18	0.0
Agrobacterium phage Atu_ph07	2024264	leaf	490380	18	17	0.0
MT093571.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/01/human/2020/SWE, complete genome	9000047	leaf	29886	20	17	0.0
Shamonda orthobunyavirus	159150	species	12104	30	17	0.0
Chrysochromulina ericina virus	455364	species	473558	16	16	0.0
Pandoravirus salinus	1349410	species	2473870	17	16	0.0
Bacillus phage Aurora	1874000	species	25908	15	15	0.0
Bordetella virus BPP1	194699	species	42493	15	15	0.0
MT184911.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-24/2020, complete genome	9000092	leaf	29882	29	15	0.0
Salinivibrio phage CW02	1161935	species	49390	15	15	0.0
Erwinia phage vB_EamM_Simmy50	1815988	leaf	271088	16	14	0.0
Escherichia phage Lw1	1307804	species	176227	15	14	0.0
Pandoravirus quercus	2107709	species	2077288	19	14	0.0
Burkholderia virus BcepC6B	279280	species	42415	18	13	0.0
MT012098.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/29/human/2020/IND, complete genome	9000023	leaf	29854	16	13	0.003086
MT066156.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/INMI1/human/2020/ITA, complete genome	9000043	leaf	29867	13	13	0.0
MT159715.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-17/2020, complete genome	9000074	leaf	29882	13	13	0.0
Pseudomonas phage PaBG	1335230	species	258139	20	13	0.0
Burkholderia virus Bcep22	242527	species	63882	20	12	0.0
MT020781.2 Severe acute respiratory syndrome coronavirus 2 isolate nCoV-FIN-29-Jan-2020, partial genome	9000029	leaf	29806	16	12	0.0
MT163721.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA9-UW6/human/2020/USA, partial genome	9000087	leaf	29325	21	12	0.0
Ostreococcus lucimarinus virus OlV5	754064	species	186468	13	12	0.0
Pandoravirus macleodensis	2107707	species	1838258	12	12	0.0
Picornavirales Bu-3	1813613	species	9808	12	12	0.0
Lactococcus phage phiL47	1412875	species	128546	14	11	0.0
MT159705.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-7/2020, complete genome	9000064	leaf	29882	11	11	0.0
Propionibacterium phage PFR2	1838138	species	39640	11	11	0.0
Staphylococcus phage vB_SepS_SEP9	1434319	leaf	92417	12	11	0.0
Yellowstone lake phycodnavirus 3	1586715	species	171454	11	11	0.0
Esparto virus	2072209	species	183261	11	10	0.0
MT007544.1 Severe acute respiratory syndrome coronavirus 2 isolate Australia/VIC01/2020, complete genome	9000022	leaf	29893	25	10	0.0
MT050493.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/166/human/2020/IND, complete genome	9000042	leaf	29851	18	10	0.0
MT163717.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA4-UW2/human/2020/USA, complete genome	9000083	leaf	29897	26	10	0.0
Pseudomonas phage PhiPA3	998086	species	309208	17	10	0.0
Synechococcus phage S-RIM8 A.HR1	869724	species	171211	19	10	0.0
Acinetobacter phage Acj61	760732	species	164093	13	9	0.0
Aureococcus anophagefferens virus	1474867	species	370920	10	9	0.0
Bacillus phage JL	1296655	leaf	137918	9	9	0.0
Caulobacter phage CcrColossus	1211640	species	279967	10	9	0.0
MN996531.1 Severe acute respiratory syndrome coronavirus 2 isolate WIV07, complete genome	9000020	leaf	29857	10	9	0.0
MT163716.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA3-UW1/human/2020/USA, complete genome	9000082	leaf	29903	21	9	0.0
Phaeocystis globosa virus	251749	species	459984	12	9	0.0
Pseudomonas phage YMC11/02/R656	1755689	species	60919	9	9	0.0
Synechococcus phage S-SKS1	754042	species	208007	9	9	0.0
Yersinia phage fHe-Yen9-04	2052742	leaf	354378	15	9	0.0
Acinetobacter phage AbP2	2015804	leaf	45373	8	8	0.0
Bacillus virus SPbeta	66797	species	134416	8	8	0.0
Condylorrhiza vestigialis MNPV	1592576	species	125767	8	8	0.0
Lausannevirus	999883	species	346754	8	8	0.0
Melanoplus sanguinipes entomopoxvirus	83191	species	236120	10	8	0.0
MT019529.1 Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-01/2019, complete genome	9000024	leaf	29899	9	8	0.0
Pseudomonas phage MD8	1868596	species	43277	9	8	0.0
Pseudomonas phage vB_PsyM_KIL1	1777065	leaf	90552	8	8	0.0
Rhodococcus phage Weasels2	1897437	leaf	134973	8	8	0.0
Sphingomonas phage PAU	1150991	species	219372	8	8	0.0
Staphylococcus phage JD007	1239383	leaf	141836	8	8	0.0
Streptococcus phage MM1	120574	species	40248	10	8	0.0
Tunisvirus fontaine2	1421067	leaf	380011	8	8	0.0
Aeromonas virus 65	260149	species	235229	8	7	0.0
Anomala cuprea entomopoxvirus	62099	species	245717	7	7	0.0
Campylobacter virus CP81	990550	species	132454	8	7	0.0
Canarypox virus	44088	species	359853	7	7	0.0
Cronobacter phage S13	1327935	species	182145	7	7	0.0
Erwinia phage phiEt88	925984	species	47279	8	7	0.0
Fromanvirus	186764	genus	51753	7	7	0.0
Giant panda circovirus 1	2016456	species	2745	9	7	0.0
Mollivirus sibericum	1678078	species	651523	7	7	0.0
MT044257.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-IL2/2020, complete genome	9000039	leaf	29882	27	7	0.0
MT106054.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-TX1/2020, complete genome	9000051	leaf	29882	13	7	0.0
Pectobacterium phage CBB	1792242	species	378379	19	7	0.0
Sinorhizobium phage phiLM21	1524882	species	50827	7	7	0.0
Streptococcus phage phiARI0746	1701837	species	33181	9	7	0.0
Streptococcus phage phiARI0923	1701842	species	33477	8	7	0.0
Streptomyces phage Mildred21	2023959	leaf	131976	7	7	0.0
Synechococcus phage S-WAM1	1815521	species	185102	7	7	0.0
Calicivirus isolate TCG	243550	species	7453	6	6	0.0
Campylobacter virus CPt10	722418	species	175720	9	6	0.0
Citrobacter phage Merlin	1675602	leaf	172733	6	6	0.0
Cyanophage P-RSM1	536444	species	177211	6	6	0.0
Ectropis obliqua nucleopolyhedrovirus	59376	species	131204	6	6	0.0
Edwardsiella phage MSW-3	1264700	leaf	42746	9	6	0.0
Escherichia phage Pollock	1540097	leaf	68365	8	6	0.0
Gokushovirinae GAIR4	1701404	species	4468	6	6	0.0
Gordonia phage GMA6	1647285	leaf	83324	6	6	0.0
Hubei orthoptera virus 1	1923009	species	9555	6	6	0.0
Medicago sativa amalgavirus 1	2069326	species	3423	6	6	0.0
MT049951.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Yunnan-01/human/2020/CHN, complete genome	9000041	leaf	29903	6	6	0.0
MT188339.1 Severe acute respiratory syndrome coronavirus 2 isolate USA/MN3-MDH3/2020, complete genome	9000095	leaf	29783	20	6	0.0
Myoviridae	10662	family	132960	7	6	0.0
Only Syngen Nebraska virus 5	1917232	species	327147	8	6	0.0
Orgyia leucostigma nucleopolyhedrovirus	490711	species	156179	7	6	0.0
Prochlorococcus phage P-SSM4	268747	species	178249	6	6	0.0
Providencia phage vB_PreS_PR1	1931407	leaf	118537	6	6	0.0
Pseudoalteromonas phage pYD6-A	754052	species	76802	8	6	0.0
Pseudomonas phage phiPsa374	1458843	leaf	97906	6	6	0.0
Pseudomonas phage PS-1	1573458	species	48666	6	6	0.0
Ralstonia phage phiRSL1	1980924	leaf	231255	6	6	0.0
Salmonella phage 19	1654883	species	94766	9	6	0.0
Salmonella phage epsilon15	215158	leaf	39672	9	6	0.0
Salmonella phage phSE-2	1837218	species	49167	6	6	0.0
Streptococcus phage SpSL1	1566990	species	33756	6	6	0.0
Wenzhou Crab Virus 1	1608091	leaf	9591	6	6	0.0
Wenzhou Crab Virus 3	1608093	species	12860	6	6	0.0
Yellowstone lake phycodnavirus 1	1586713	species	178262	6	6	0.0
Yellowstone lake phycodnavirus 2	1586714	species	171045	6	6	0.0
Yersinia phage phiR1-37	331278	species	262391	6	6	0.0
Acidovorax phage ACP17	2010329	leaf	156281	5	5	0.0
Acinetobacter phage Ac42	762660	species	167716	6	5	0.0
Acinetobacter phage YMC13/03/R2096	1560342	species	98170	5	5	0.0
Acinetobacter virus 133	279006	species	159801	5	5	0.0
Aeromonas virus Aeh1	227470	species	233234	6	5	0.0
Amsacta moorei entomopoxvirus	28321	species	232392	5	5	0.0
Armadillidium vulgare iridescent virus	72201	leaf	220222	6	5	0.0
Arthrobacter phage vB_ArS-ArV2	1414742	species	37372	5	5	0.0
Bacillus phage BCP78	1126950	leaf	156176	7	5	0.0
Bacillus phage Mater	1540090	leaf	164302	5	5	0.0
BeAn 58058 virus	67082	species	163005	12	5	0.0
Burkholderia virus Bcepmigl	1195073	species	62952	13	5	0.0
Cellulophaga phage phiST	756282	leaf	79114	5	5	0.0
Chimpanzee faeces associated circular DNA virus 1	1676184	species	3811	5	5	0.0
Choristoneura rosaceana nucleopolyhedrovirus	58094	species	129052	5	5	0.0
Deep-sea thermophilic phage D6E	749413	species	49335	5	5	0.0
Geobacillus virus E3	1572712	species	141298	5	5	0.0
Helicoverpa zea nudivirus 2	1128424	leaf	231621	5	5	0.0
Kostyavirus	1623284	genus	75953	7	5	0.0
Lactococcus phage GE1	1698369	species	24847	5	5	0.0
Micromonas pusilla virus 12T	755272	species	205622	5	5	0.0
MN994467.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA1/2020, complete genome	9000014	leaf	29882	19	5	0.0
MN996527.1 Severe acute respiratory syndrome coronavirus 2 isolate WIV02, complete genome	9000016	leaf	29825	9	5	0.0
MT044258.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA6/2020, complete genome	9000040	leaf	29858	9	5	0.0
MT066176.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/NTU02/2020/TWN, complete genome	9000045	leaf	29870	6	5	0.0
MT184910.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-23/2020, complete genome	9000091	leaf	29882	33	5	0.0
Mycobacterium phage DS6A	45764	species	60588	5	5	0.0
Mythimna unipuncta nucleopolyhedrovirus	447897	species	148482	7	5	0.0
Opuntia virus X	253702	species	6653	5	5	0.0
Pakpunavirus	1921407	genus	92857	5	5	0.0
Polaribacter phage P12002S	1647387	leaf	49847	5	5	0.0
Pseudomonas phage phi297	1129145	species	49135	6	5	0.0
Pseudomonas phage SL2	2041345	leaf	279696	5	5	0.0
Ruegeria phage DSS3-P1	1555208	species	59601	5	5	0.0
Salmonella phage SJ46	1815968	leaf	103445	6	5	0.0
Streptococcus phage 5093	646413	species	37184	5	5	0.0
Streptomyces phage Rima	1897525	leaf	56168	5	5	0.0
Sulfitobacter phage pCB2047-C	754043	species	40931	5	5	0.0
Synechococcus phage S-CAM1	754037	species	198013	5	5	0.0
Synechococcus phage S-WAM2	1815522	species	186386	8	5	0.0
Xylella phage Prado	1415146	leaf	43940	5	5	0.0
Acinetobacter phage AP22	1187128	leaf	46387	4	4	0.0
Acinetobacter phage vB_AbaM_Acibel004	1481186	species	99730	5	4	0.0
Aeromonas phage vB_AsaM-56	1127514	leaf	43551	4	4	0.0
Burkholderia virus Bcep1	244310	species	48177	4	4	0.0
Burkholderia virus phi1026b	255131	species	54865	4	4	0.0
Burkholderia virus phi6442	431891	species	48674	4	4	0.0
Canid alphaherpesvirus 1	170325	species	125171	4	4	0.0
Cellulophaga phage phi14:2	1327990	species	100418	4	4	0.0
Cercopithecine alphaherpesvirus 9	35246	species	124784	4	4	0.0
Choristoneura rosaceana entomopoxvirus 'L'	1293539	leaf	282895	7	4	0.0
Cyanophage 9515-10a	444875	species	47055	4	4	0.0
Cyanophage P-SSP2	444876	species	45890	4	4	0.0
Cyanophage S-RIM50	687803	species	174307	34	4	0.0
Cypovirus 5	205899	species	24818	4	4	0.0
Cyprinid herpesvirus 3	180230	species	295146	4	4	0.0
Diadromus pulchellus ascovirus 4a	158683	leaf	119343	4	4	0.0
Enterobacteria phage phi92	948870	species	148612	4	4	0.0
Enterococcus phage EFDG1	1597976	leaf	147589	5	4	0.0
Flavobacterium phage 11b	294631	species	36012	4	4	0.0
Fowlpox virus	10261	species	288539	5	4	0.0
Gordonia phage GMA1	1647470	species	41207	4	4	0.0
Gordonia phage Yvonnetastic	1821566	leaf	98136	4	4	0.0
Halovirus HRTV-5	1273753	species	76134	6	4	0.0
Invertebrate iridescent virus 6	176652	species	212482	5	4	0.0
Iodobacter phage PhiPLPE	551895	leaf	47453	4	4	0.0
Junonia coenia densovirus	12524	leaf	5908	4	4	0.0
Klebsiella phage vB_Kpn_IME260	1912318	leaf	123490	6	4	0.0
Lake Sarah-associated circular virus-1	1685735	species	2862	4	4	0.0
LC529905.1 Severe acute respiratory syndrome coronavirus 2 TKYE6182_2020 RNA, complete genome	9000002	leaf	29903	8	4	0.0
Lily mottle virus	32624	species	9644	4	4	0.0
Microbacterium phage Min1	446529	leaf	46365	4	4	0.0
Microplitis demolitor bracovirus	53988	species	185221	4	4	0.0
MN988713.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-IL1/2020, complete genome	9000013	leaf	29882	24	4	0.0
MN996529.1 Severe acute respiratory syndrome coronavirus 2 isolate WIV05, complete genome	9000018	leaf	29852	4	4	0.0
MT039887.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-WI1/2020, complete genome	9000036	leaf	29879	7	4	0.0
MT135044.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/235/human/2020/CHN, complete genome	9000062	leaf	29903	19	4	0.0
MT159716.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-18/2020, complete genome	9000075	leaf	29867	8	4	0.0
MT163720.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA8-UW5/human/2020/USA, partial genome	9000086	leaf	29732	4	4	0.0
MT188341.1 Severe acute respiratory syndrome coronavirus 2 isolate USA/MN1-MDH1/2020, complete genome	9000097	leaf	29835	18	4	0.0
MT192765.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/PC00101P/human/2020/USA, complete genome	9000099	leaf	29829	28	4	0.0
Mycobacterium phage Adler	1327959	species	95705	4	4	0.0
Mycobacterium phage Xeno	1821538	leaf	42395	4	4	0.0
Neodiprion abietis NPV	204507	species	84264	5	4	0.0
Noumeavirus	1955558	species	376207	7	4	0.0
Oxyplax ochracea nucleopolyhedrovirus	2083176	species	113971	4	4	0.0
Pacmanvirus A23	1932881	species	395405	4	4	0.0
Paramecium bursaria Chlorella virus AR158	380598	species	344691	10	4	0.0
Pigeonpox virus	10264	species	282356	6	4	0.0
Prochlorococcus phage P-TIM68	1542477	species	197361	4	4	0.0
Proteus phage PM135	2048008	leaf	104329	4	4	0.0
Pseudocowpox virus	129726	species	145289	6	4	0.0
Pseudomonas phage PA11	347327	species	49639	4	4	0.0
Pseudomonas phage PaMx42	1175662	species	43225	4	4	0.0
Pseudomonas phage PPpW-3	1279082	species	43564	4	4	0.0
Pseudomonas virus H66	1273707	species	65270	6	4	0.0
Ralstonia phage RP12	1923889	leaf	279845	4	4	0.0
Salmonella phage FSL SP-076	1173762	leaf	72098	10	4	0.0
Shigella phage Ag3	637730	leaf	158006	4	4	0.0
Streptomyces phage Jay2Jay	1556290	leaf	133531	4	4	0.0
Sulfitobacter phage EE36phi1	490913	species	73325	4	4	0.0
Synechococcus phage ACG-2014d	1493509	species	179110	4	4	0.0
Synechococcus phage S-RIM2 R1_1999	869662	species	175430	10	4	0.0
Synechococcus phage S-SM1	444859	species	174079	6	4	0.0
Synechococcus phage S-SM2	444860	species	190789	4	4	0.0
Vibrio phage JSF10	1983593	leaf	111671	13	4	0.0
Vibrio phage VBP47	754073	species	76705	6	4	0.0
Xanthomonas citri phage CP2	1188795	species	42963	4	4	0.0
Xanthomonas phage f30-Xaj	1784981	leaf	44262	6	4	0.0
Xestia c-nigrum granulovirus	51677	species	178733	7	4	0.0
Yellowstone Lake virophage 7	1557035	species	23193	4	4	0.0
Abalone herpesvirus Victoria/AUS/2009	1241371	leaf	211518	3	3	0.0
Achromobacter phage JWAlpha	1416009	leaf	72329	3	3	0.0
Achromobacter phage phiAxp-3	1664247	leaf	72825	3	3	0.0
Adoxophyes honmai entomopoxvirus 'L'	1293540	leaf	228750	4	3	0.0
Aeromonas virus 25	233894	species	161475	3	3	0.0
Alces alces faeces associated microvirus MP15 5067	2219136	species	5004	3	3	0.0
Amasya cherry disease associated chrysovirus	284687	species	11858	3	3	0.0
Bacillus phage vB_BanS-Tsamsa	1308863	species	168876	3	3	0.0
Bat associated cyclovirus 3	2050586	species	1741	3	3	0.0
Bat coronavirus BM48-31/BGR/2008	864596	species	29276	8	3	0.0
Brazilian marseillevirus	1813599	species	362276	4	3	0.0
Burkholderia virus phiE125	180504	species	53373	3	3	0.0
Caulobacter virus Rogue	1211643	species	223720	5	3	0.0
Changjiang picorna-like virus 12	1922785	species	8774	4	3	0.0
Choristoneura biennis entomopoxvirus	10288	species	307691	8	3	0.0
Citrobacter phage CVT22	1622234	species	47636	3	3	0.0
Clostridium phage CDMH1	1411095	species	54279	6	3	0.0
Cotesia congregata bracovirus	39640	species	567670	4	3	0.0
Cotia virus SPAn232	930275	leaf	185139	10	3	0.0
Cronobacter phage vB_CsaP_GAP52	1141137	species	76631	3	3	0.0
Cucurbit yellow stunting disorder virus	51330	species	17099	3	3	0.0
Cyprinid herpesvirus 2	317878	species	290304	5	3	0.0
Delftia phage RG-2014	1563661	species	73882	4	3	0.0
Diatraea saccharalis granulovirus	1675862	species	98392	3	3	0.0
Dinoroseobacter phage DFL12phi1	1477404	leaf	75028	4	3	0.0
Edwardsiella phage PEi20	1608310	species	177643	3	3	0.0
Edwardsiella phage PEi21	1325372	leaf	43378	5	3	0.0
Emiliania huxleyi virus 86	181082	species	407339	3	3	0.0
Enterobacteria phage IME08	697227	leaf	172253	3	3	0.0
Enterobacteria phage phiP27	103807	species	42575	3	3	0.0
Enterobacteria phage PRD1	10658	leaf	14927	3	3	0.0
Enterobacteria phage ST104	221029	species	41391	3	3	0.0
Eptesipox virus	1329402	species	176688	3	3	0.0
Equid gammaherpesvirus 5	10371	species	182380	3	3	0.0
Escherichia phage 121Q	1555202	leaf	348532	4	3	0.0
Escherichia phage Av-05	1527519	leaf	120938	3	3	0.0
Escherichia phage CICC 80001	1527506	species	38810	3	3	0.0
Escherichia phage ST0	2005047	leaf	170496	5	3	0.0
Fig badnavirus 1	1034096	species	7140	4	3	0.0
Fishburnevirus	1983734	genus	46867	3	3	0.0
Flamingopox virus FGPVKD09	2059380	species	293123	4	3	0.0
Glossina pallidipes salivary gland hypertrophy virus	379529	leaf	190032	3	3	0.0
Goatpox virus Pellor	376852	leaf	149599	5	3	0.0
Gokushovirinae Bog1183_53	1655646	species	4609	3	3	0.0
Gordonia phage GMA4	1647471	species	45537	3	3	0.0
Gordonia phage Zirinka	1887656	leaf	52077	3	3	0.0
Haemophilus virus HP1	10690	species	32355	3	3	0.0
Halovirus VNH-1	1500510	species	10021	3	3	0.0
Heterosigma akashiwo virus 01	97195	species	274793	5	3	0.0
Invertebrate iridescent virus 3	345201	species	191100	3	3	0.0
Invertebrate iridovirus 25	1301280	species	204815	3	3	0.0
Kaumoebavirus	1859492	species	350731	7	3	0.0
Klebsiella phage KP36	1129191	leaf	49797	3	3	0.0
Klebsiella phage PKO111	1654928	leaf	168758	3	3	0.0
Klebsiella phage PKP126	1654927	leaf	50934	3	3	0.0
Listeria virus P100	330395	species	135281	6	3	0.0
Malacosoma neustria nucleopolyhedrovirus	38012	species	130202	3	3	0.0
Microcystis phage MaMV-DC	1357715	species	169223	5	3	0.0
Morganella phage vB_MmoM_MP1	1852628	species	163201	3	3	0.0
MT093631.2 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WH-09/human/2020/CHN, complete genome	9000048	leaf	29860	3	3	0.0
MT135043.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/233/human/2020/CHN, complete genome	9000061	leaf	29903	3	3	0.0
MT159707.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-10/2020, complete genome	9000066	leaf	29882	3	3	0.0
MT188340.1 Severe acute respiratory syndrome coronavirus 2 isolate USA/MN2-MDH2/2020, complete genome	9000096	leaf	29845	22	3	0.0
MT198653.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia001/human/2020/ESP, partial genome	9000104	leaf	29611	69	3	0.0
Mycobacterium phage Adzzy	1383059	species	52519	3	3	0.0
Mycobacterium phage Dori	1089121	species	64613	3	3	0.0
Mycobacterium phage Gaia	1486472	leaf	90460	3	3	0.0
Mycobacterium phage Patience	1074308	leaf	70506	3	3	0.0
Mycobacterium phage Phrann	1821541	leaf	44872	4	3	0.0
Mycobacterium phage ShiLan	1036616	leaf	59794	3	3	0.0
Mycobacterium virus Yoshi	1034150	species	58714	3	3	0.0
Mythimna separata entomopoxvirus 'L'	1293572	leaf	281182	3	3	0.0
Nienokoue virus	1286143	species	10878	3	3	0.0
Oenococcus phage phi9805	1435411	species	46145	3	3	0.0
Orgyia pseudotsugata multiple nucleopolyhedrovirus	262177	species	131995	3	3	0.0
Panine betaherpesvirus 2	188763	species	241087	3	3	0.0
Paracoccus phage Shpa	1647282	leaf	38261	3	3	0.0
Pseudomonas phage EL	273133	leaf	211215	3	3	0.0
Pseudomonas phage OBP	1124849	species	284757	4	3	0.0
Pseudomonas phage phi3	1754217	species	32637	3	3	0.0
Pseudomonas phage phiPSA1	1500757	species	51090	3	3	0.0
Pseudomonas phage YMC11/07/P54_PAE_BP	1777064	species	50183	4	3	0.0
Pteropox virus	1873698	species	133492	3	3	0.0
Puniceispirillum phage HMO-2011	948071	species	55282	3	3	0.0
Red clover powdery mildew-associated totivirus 9	1714370	species	5997	3	3	0.0
Red-crowned crane parvovirus	2079601	species	10971	3	3	0.0
Rhodococcus phage ReqiPoco6	691964	leaf	78064	5	3	0.0
Riemerella phage RAP44	936152	species	49329	3	3	0.0
Roseobacter phage RDJL Phi 2	1682380	leaf	63513	3	3	0.0
Sea otter poxvirus	1416741	species	127879	3	3	0.0
Serratia phage CHI14	2006941	leaf	171175	3	3	0.0
Sewage-associated circular DNA virus-16	1592083	species	2042	3	3	0.0
Shewanella sp. phage 1/40	1458860	species	139004	14	3	0.0
Shigella phage 75/02 Stx	1416032	leaf	60875	6	3	0.0
Silicibacter phage DSS3phi2	490912	species	74611	3	3	0.0
Singapore grouper iridovirus	262968	species	140131	3	3	0.0
Siphoviridae	10699	family	54846	4	3	0.0
Spodoptera litura nucleopolyhedrovirus II	566270	species	148634	3	3	0.0
Staphylococcus virus SA11	1204543	species	136326	4	3	0.0
Staphylococcus virus Twort	55510	species	130706	3	3	0.0
Stenotrophomonas phage S1	573591	species	40287	3	3	0.0
Stenotrophomonas phage vB_SmaS_DLP_5	2044561	leaf	96542	3	3	0.0
Streptococcus phage YMC-2011	1051631	species	40758	3	3	0.0
Synechococcus phage S-CAM9	1883369	species	174830	4	3	0.0
Synechococcus phage S-IOM18	754039	species	171797	6	3	0.0
Synechococcus phage S-RIP2	754040	species	45728	3	3	0.0
Synechococcus phage S-ShM2	445683	species	179563	3	3	0.0
Synechococcus phage S-SSM5	445685	species	176184	3	3	0.0
Synechococcus phage S-SSM7	445686	species	232878	3	3	0.0
Tequatrovirus	10663	genus	167288	7	3	0.0
Trichoplusia ni ascovirus 2c	328615	species	174059	3	3	0.0
Tulanevirus	2560244	genus	162249	3	3	0.0
Vibrio phage CP-T1	10689	species	44492	3	3	0.0
